date,C,C#,C++,CSS,HTML,Java,JavaScript,Others,PHP,Python,Ruby,TypeScript
2011-12-01,2069,954,1570,237,395,4157,5598,18651,3140,3587,5253,16
2012-01-01,2165,1176,1998,347,468,4940,6786,22548,3707,4155,6406,18
2012-02-01,2362,1357,2277,405,535,5615,7897,25495,4201,4653,7559,16
2012-03-01,2573,1501,2485,440,570,6585,8836,28506,4371,5262,7988,16
2012-04-01,2693,1563,2597,479,549,6702,9114,28396,4634,5100,7367,18
2012-05-01,2606,1701,2607,444,584,6529,9696,30140,4564,5142,7935,22
2012-06-01,2666,1784,2504,505,505,6279,9802,30967,5214,5106,7629,17
2012-07-01,2843,1829,2555,637,599,6965,10116,61767,5052,5572,7955,21
2012-08-01,2874,1978,2710,678,682,7832,11576,37986,5275,5865,7950,28
2012-09-01,3149,2107,3149,718,695,8464,11819,40660,5645,6090,8101,23
2012-10-01,3550,2541,3539,808,1138,10512,13756,47421,6444,6789,9607,41
2012-11-01,3612,2530,3724,911,764,10753,14222,51677,6828,7004,9421,31
2012-12-01,3594,2268,3527,883,781,9575,13110,46511,5901,6552,8962,34
2013-01-01,4447,2884,4474,1295,1026,11700,17211,62216,7815,8386,10587,44
2013-02-01,4163,3114,4275,1292,1007,12303,18083,61241,7785,8578,10751,45
2013-03-01,5350,3594,5265,1664,1184,14528,20675,73092,8567,10072,13451,88
2013-04-01,5223,3774,5407,1914,1302,15257,21417,73837,8760,9959,12666,109
2013-05-01,5023,3794,5366,2179,1384,14099,21701,70213,9499,9732,12477,125
2013-06-01,4691,3375,5924,2518,1258,13184,21165,64113,7983,9364,12780,145
2013-07-01,4511,3495,5123,3994,1491,13083,23465,71878,8913,10249,14213,139
2013-08-01,4815,3574,4925,8435,1599,13435,19701,66386,8292,9451,12852,122
2013-09-01,5043,3864,5609,9127,1777,16168,21131,71782,8932,10404,12789,130
2013-10-01,6135,4452,6480,11262,1841,19062,23866,82307,10110,11913,14722,119
2013-11-01,6032,4510,6969,10299,1803,19163,23718,83462,9466,11304,14357,172
2013-12-01,5708,4162,6176,9098,2084,16981,22769,75902,8978,10638,12516,272
2014-01-01,6447,5140,7268,11191,2813,20358,28036,91801,11295,12858,14350,423
2014-02-01,6405,4954,7380,11654,2754,22647,28982,93104,10863,13894,14406,362
2014-03-01,7916,6276,8758,12941,3218,26678,32576,110846,12470,15818,15950,453
2014-04-01,7349,5936,8500,12608,3331,25982,32226,122889,11662,14925,14986,350
2014-05-01,7018,6249,8176,12674,3514,25746,32919,119269,12084,14888,14949,332
2014-06-01,6148,5686,7470,12281,3371,22612,31102,116655,11364,14366,14519,310
2014-07-01,6407,6265,7876,13887,20462,24618,35740,120423,13019,15822,16404,334
2014-08-01,6247,6337,8355,13652,22785,24280,34991,114443,12831,15451,15769,325
2014-09-01,7763,7799,9487,16729,4612,31469,36833,128026,13659,17143,15301,277
2014-10-01,10051,8807,11033,17630,5617,35787,42150,180936,15323,21203,16373,287
2014-11-01,8943,9117,11010,16915,5486,36661,41054,137093,15153,19591,15250,298
2014-12-01,8059,8356,9814,14578,5704,31753,38314,163458,13904,17760,13954,281
2015-01-01,8875,10155,10925,18635,8737,37537,45770,190431,22854,21149,16547,286
2015-02-01,8950,9960,11044,15032,18477,37225,44119,151948,16650,21034,17376,300
2015-03-01,15214,16380,19923,14768,33325,63291,52956,189091,22596,28947,18107,422
2015-04-01,13208,13782,16431,14164,31477,54673,50088,175842,19441,25940,17609,411
2015-05-01,11414,13569,14788,14942,31881,52284,50691,173176,19051,24896,16784,485
2015-06-01,10568,12373,13280,14371,30784,47399,50997,174359,18482,24352,17590,499
2015-07-01,10092,11925,12732,14745,31290,46001,54907,199470,18404,25008,17703,550
2015-08-01,10528,12594,13142,14682,33479,47405,52593,227102,18663,24933,17325,627
2015-09-01,11670,13976,15030,16165,36303,55261,57769,201865,18526,27732,18476,672
2015-10-01,12837,15667,16357,17665,40032,62422,61203,206943,20194,29962,20707,784
2015-11-01,13274,15561,16271,17449,38238,62672,61545,203235,19933,30493,17231,989
2015-12-01,11924,14364,14956,16375,33738,55381,57791,189573,17801,28510,15234,1135
2016-01-01,13039,16466,16380,20249,43300,60242,68732,222386,20229,32349,17042,1454
2016-02-01,14038,17325,17614,21506,51646,68998,75070,257771,22747,35025,18585,1578
2016-03-01,16181,19208,22342,24205,54649,84422,83977,285646,24586,39218,18352,2180
2016-04-01,16191,19498,20714,22479,52344,81298,81489,278912,23808,38595,18049,2096
2016-05-01,12709,18305,18064,24375,51611,73696,80456,269353,23046,35918,18321,2858
2016-06-01,11431,17265,15651,22627,49012,66600,76840,254120,21982,33761,17690,3170
2016-07-01,11413,16648,14147,23178,50060,66059,79393,277557,21188,35197,17505,3364
2016-08-01,11600,17120,15339,23995,54352,71798,85624,305401,22482,37026,17688,4031
2016-09-01,14560,20705,18897,25500,64111,86507,90642,333872,25422,41260,17359,4758
2016-10-01,15434,22979,21305,27401,68461,94466,99133,347404,25716,45902,18170,6071
2016-11-01,15773,23516,21559,28138,66099,95896,98827,341150,27119,45798,18915,6623
2016-12-01,14535,20977,19803,23999,57474,81539,91483,313291,24163,42901,17013,6470
2017-01-01,14181,24284,19559,25199,72559,84945,101699,348946,26067,50128,17966,7927
2017-02-01,15420,25531,21580,27594,78580,95478,108475,366690,28768,52463,19527,8891
2017-03-01,18515,28788,27053,32263,90102,119449,128292,428233,33143,60637,22169,11146
2017-04-01,16837,27364,24544,28964,81146,103868,124176,380997,28495,56442,20713,11254
2017-05-01,16579,28144,24033,29258,83269,105719,117897,401012,30440,57808,20281,12473
2017-06-01,14740,25275,21190,28164,80559,96768,116448,364888,27993,55899,18741,12863
2017-07-01,14371,25539,20357,29581,82409,96539,123066,376449,36519,58676,19365,14350
2017-08-01,14808,26045,21258,29807,85213,97200,125224,385975,36525,57496,19450,14938
2017-09-01,18167,29080,25931,29486,92502,113950,124145,425568,30077,65652,17473,16159
2017-10-01,20133,32926,30453,33284,100220,124570,133440,439050,34031,72923,20042,17676
2017-11-01,20233,32387,29715,33038,96574,125459,137844,443458,34014,73906,19720,18119
2017-12-01,17443,28472,26312,27399,82472,106881,124399,398263,29132,68147,15220,16465
2018-01-01,19896,33656,30054,32407,101585,117890,144880,468020,32899,78593,16098,19692
2018-02-01,18762,32275,29782,30415,97857,112065,138831,432780,31727,74877,17753,19744
2018-03-01,23481,37539,37316,37729,115240,140690,168256,526687,37920,91849,18561,23204
2018-04-01,22392,39007,35930,34239,109046,133518,161065,498405,35903,86309,18391,22174
2018-05-01,20258,36751,33928,35479,111624,132463,163581,493321,35917,85400,18871,24178
2018-06-01,16210,32718,28370,31946,101406,116717,156389,449835,32199,79918,17732,23886
2018-07-01,15481,31260,26296,33169,102737,117764,159878,460541,32758,82147,19646,24126
2018-08-01,16882,30817,27969,33302,106693,120803,160785,466150,31454,81934,19409,24548
2018-09-01,20895,36290,32999,34172,122663,134937,162000,499077,32740,89567,17443,24496
2018-10-01,23079,41464,38321,38550,130151,150728,179167,564372,36696,99701,20369,27769
2018-11-01,22782,38607,37946,37283,121801,145250,180332,510585,37149,99256,21300,26881
2018-12-01,19819,33602,34193,31996,108888,126234,164978,468284,31505,92746,14811,25064
2019-01-01,20193,37427,35337,35500,126726,129523,176579,472440,34740,97277,18836,27346
2019-02-01,19251,36625,31744,35286,124567,124859,169345,436279,32736,95250,18872,27365
2019-03-01,24547,42507,40738,41278,145014,157235,196563,531192,37629,110338,18929,31999
2019-04-01,24997,41040,39586,38700,133672,147635,190100,517743,36948,106798,19211,31175
2019-05-01,22509,40680,38781,39506,136394,145962,190879,520682,37108,106985,21648,31216
2019-06-01,18279,34673,31170,37148,125318,129109,177968,489265,32091,101408,19013,30373
2019-07-01,18252,35263,30758,39046,131186,133855,192516,520583,34063,106382,20822,33584
2019-08-01,19059,35964,30633,37954,177244,128599,187467,639392,34758,102230,23370,32791
2019-09-01,22900,44355,37458,42052,319491,147378,194164,693762,36681,114250,18982,32990
2019-10-01,26639,50096,41692,45640,170170,159558,211839,740226,38694,123278,21884,35793
2019-11-01,24848,46333,40119,43710,155409,154449,205530,737005,38280,122208,22124,36047
2019-12-01,21420,40249,35789,39063,138425,135645,187011,675565,33744,115161,18011,32903
2020-01-01,21688,45312,36661,43217,156923,134864,210189,716680,35550,117268,22416,36619
2020-02-01,23353,50572,38479,49412,176530,151665,221383,740198,39683,126674,22063,38334
2020-03-01,26868,55790,45513,54049,196851,170729,268781,897539,43608,146072,23666,44414
2020-04-01,27449,55819,47249,63156,227935,177857,299170,819469,45393,165138,47962,53118
2020-05-01,26457,56994,48206,69321,245939,173158,302942,768987,43964,174259,60913,55944
2020-06-01,22680,51603,40992,69222,235089,153406,295084,714235,43084,158371,55319,56469
2020-07-01,21540,47906,37966,69955,244180,151163,308035,762585,43043,158761,52831,56517
2020-08-01,21882,47244,37077,67391,231701,141081,313638,720159,39278,154561,58755,61269
2020-09-01,26831,57549,44730,61039,249399,159341,327481,795564,43946,162539,55594,57607
2020-10-01,29129,62223,47637,61764,246179,170197,354194,812188,47692,168128,53437,62782
2020-11-01,28157,59486,45798,60059,239840,165664,363911,778585,46900,165928,57376,58465
2020-12-01,26988,55759,46921,60810,231237,150100,377058,768116,43653,170942,52758,57624
2021-01-01,26484,61889,45516,67222,268560,151584,402228,803020,46177,175484,53950,62560
2021-02-01,26169,59517,42895,64770,247218,147305,370743,794603,45549,164865,52535,65400
2021-03-01,30506,70087,53401,74642,291318,184215,408835,1081506,54032,192578,54360,80021
2021-04-01,30183,64831,49884,78154,306566,174621,412867,1063603,51947,189114,30327,76344
2021-05-01,29050,64068,51052,81303,338183,183857,432498,1117015,52613,201178,18924,75545
2021-06-01,28557,60011,44949,80338,342042,168607,418533,1152049,52220,189786,15742,75441
2021-07-01,27172,53132,42050,82468,351706,152914,406162,1302056,46868,181372,15947,74027
2021-08-01,26170,54901,40691,83261,312996,149112,406834,1247398,45272,177923,16556,75327
2021-09-01,29247,69203,48849,91032,337746,175288,407483,1295546,48852,192720,14923,77434
2021-10-01,33394,75153,53259,86792,346303,182453,419094,1298743,53658,200122,16112,84053
2021-11-01,33547,73106,52418,87752,335477,180938,421337,1231668,52560,203169,17153,86582
2021-12-01,31593,68297,52544,87314,321133,171818,396151,1243164,48314,203727,13804,85667
2022-01-01,32605,70132,50632,99248,396825,181825,452893,1393782,51936,216533,15550,93657
2022-02-01,32958,72104,53763,98840,374483,179871,428037,1392108,49038,203524,16923,91394
2022-03-01,42135,85386,67613,116207,422632,218018,492898,1570776,56066,232972,16713,108515
2022-04-01,39807,80235,64660,113494,400772,206816,478610,1464808,52206,225804,16018,104931
2022-05-01,37369,82669,68026,119507,434766,220705,505398,1557780,53971,243527,19392,116700
