date,language,percent
2014-01-01,Scala,0.40175501007944975
2014-01-01,Python,6.070437566702242
2014-01-01,R,0.863275228269892
2014-01-01,MATLAB,0.27178939879046604
2014-01-01,Fortran,0.048381358946993955
2014-02-01,Julia,0.055050794766936216
2014-02-01,Scala,0.4200514424233452
2014-02-01,Python,6.400233156307249
2014-02-01,R,0.3788789992783257
2014-02-01,MATLAB,0.2812679262041783
2014-02-01,Fortran,0.053200347884013996
2014-03-01,Julia,0.03762510346903454
2014-03-01,Scala,0.37466681980743866
2014-03-01,Python,6.24141058493174
2014-03-01,R,2.4091947831803906
2014-03-01,MATLAB,0.3053574186802698
2014-03-01,Fortran,0.09901343018166986
2014-04-01,Julia,0.03431867784401582
2014-04-01,Scala,0.37017899696915946
2014-04-01,Python,5.7289055812195855
2014-04-01,R,1.0978120878866635
2014-04-01,MATLAB,0.31233852869272827
2014-04-01,Fortran,0.05167081832694517
2014-05-01,Julia,0.03236309048018248
2014-05-01,Scala,0.41838067572573256
2014-05-01,Python,5.7809057766166925
2014-05-01,R,1.23642602304408
2014-05-01,MATLAB,0.2803501452439904
2014-05-01,Fortran,0.04406059306338097
2014-06-01,Julia,0.04539023333033458
2014-06-01,Scala,0.39542662730120304
2014-06-01,Python,5.844708153067316
2014-06-01,R,1.491743884586131
2014-06-01,MATLAB,0.30055695043059383
2014-06-01,Fortran,0.045799154351328586
2014-07-01,Julia,0.04145225843339051
2014-07-01,Scala,0.37914522584333904
2014-07-01,Python,5.631432246998284
2014-07-01,R,1.335405946255003
2014-07-01,MATLAB,0.2701543739279588
2014-07-01,Fortran,0.039308176100628936
2014-08-01,Julia,0.03503508983216003
2014-08-01,Scala,0.36531380127075186
2014-08-01,Python,5.606344270850441
2014-08-01,R,1.4076077237775126
2014-08-01,MATLAB,0.2649528668557102
2014-08-01,Fortran,0.04160416917569003
2014-09-01,Julia,0.043821971501806785
2014-09-01,Scala,0.3919631895439385
2014-09-01,Python,5.9378771384948195
2014-09-01,R,1.3776097549099737
2014-09-01,MATLAB,0.319274363798878
2014-09-01,Fortran,0.04521314520027684
2014-10-01,Julia,0.03329755909628773
2014-10-01,Scala,0.3544401331902364
2014-10-01,Python,5.805333113184182
2014-10-01,R,1.0336002641789812
2014-10-01,MATLAB,0.2999532183054019
2014-10-01,Fortran,0.038250914994909055
2014-11-01,Julia,0.03716019856885594
2014-11-01,Scala,0.39828110260978933
2014-11-01,Python,6.187967083051456
2014-11-01,R,1.204053955337888
2014-11-01,MATLAB,0.3541335162758494
2014-11-01,Fortran,0.036842590034079394
2014-12-01,Julia,0.03885255455546202
2014-12-01,Scala,0.38205011979537656
2014-12-01,Python,5.440591052195015
2014-12-01,R,1.0857130522998553
2014-12-01,MATLAB,0.2732012963185663
2014-12-01,Fortran,0.034535604049299576
2015-01-01,Julia,0.03487349383687924
2015-01-01,Scala,0.35873542557201504
2015-01-01,Python,5.393852521020255
2015-01-01,R,1.2987812226749507
2015-01-01,MATLAB,0.30180957533828573
